latitude,longitude,population
-26.18848,28.32078,605344
34.7,137.73333,605098
9.93988,76.26022,604696
41.10778,121.14167,604269
20.93333,77.75,603837
24.46667,54.36667,603492
20.86481,106.68345,602695
38.89511,-77.03637,601723
33.72148,73.04329,601600
35.46806,44.39222,601433
16.85438,74.56417,601214
39.73915,-104.9847,600158
46.63611,131.15389,600000
-7.70623,114.00976,600000
43.77223,-79.25666,600000
53.36056,83.76361,599579
51.9225,4.47917,598199
37.87917,114.65167,597130
32.62781,-115.45446,597099
29.1026,-110.97732,595811
43.0389,-87.90647,594833
37.28077,49.58319,594590
7.15571,3.34509,593100
51.45657,7.01228,593085
38.73222,35.48528,592840
19.70078,-101.18443,592797
-28.00029,153.43088,591473
40.66482,122.22833,591159
9.05785,7.49508,590400
24.51333,117.65556,589831
48.78232,9.17702,589793
51.51494,7.466,588462
43.10562,131.87353,587022
52.29778,104.29639,586695
-15.78499,35.00854,584877
18.00747,-76.78319,583958
45.52345,-122.67621,583776
36.17497,-115.13722,583756
41.02252,29.02369,582666
44.4264,8.91519,580223
59.91273,10.74609,580000
20.46497,85.87927,580000
35.46756,-97.51643,579999
35.65583,139.32389,579399
48.48271,135.08379,579000
48.43776,135.13329,578303
0.39241,9.45356,578156
30.28321,57.07879,577514
-6.77137,-79.84088,577375
37.55274,45.07605,577307
41.00231,28.8598,576799
32.94083,117.36083,576648
28.02094,73.30749,576015
41.01643,29.12476,573265
51.22172,6.77616,573057
-3.31987,114.59075,572837
44.3023,86.03694,572772
7.12539,-73.1198,571820
42.33343,-71.04949,571281
1.55,110.33333,570407
52.40692,16.92993,570352
19.18095,-96.1429,568313
36.72016,-4.42034,568305
7.69385,-5.03031,567481
15.33805,38.93184,563930
13.06269,5.24322,563861
-18.91861,-48.27722,563536
6.14543,6.78845,561066
35.69306,139.98333,560743
39.91833,127.53639,559056
-23.50167,-47.45806,558862
60.16952,24.93545,558457
18,79.58333,557802
20.02472,-75.82194,555865
43.16143,124.37785,555609
31.56019,130.55814,555352
-7.55611,110.83167,555308
33.58861,119.01917,555230
21.77445,72.1525,554978
-38.00228,-57.55754,553935
29.4,71.68333,552607
29.4963,60.8629,551980
12.77944,45.03667,550602
19.16023,77.31497,550564
51.7727,55.0988,550204
42.67272,21.16688,550000
35.22806,128.68111,550000
46.79927,130.31633,549549
14.62578,121.12251,549543
29.58354,105.06216,546854
53.07516,8.80777,546501
35.08449,-106.65114,545852
33.89352,-5.54727,545705
25.33737,55.41206,543733
25.01427,121.46719,543342
32.08361,72.67111,542603
4.36122,18.55496,542393
54.68916,25.2798,542366
21.17429,-86.84656,542043
32.39722,119.43583,539715
53.7557,87.1099,539616
0.51528,25.19099,539158
31.25654,32.28411,538378
36.79526,34.61792,537842
5.51667,5.75,536023
28.88162,120.03308,536000
6.60086,3.48818,535619
39.02111,117.64694,535298
22.58333,113.08333,532419
36.16589,-86.78444,530852
21.27028,40.41583,530848
-19.84361,34.83889,530604
16.29974,80.45729,530577
14.85,-15.88333,529176
46.81228,-71.21454,528595
34.79922,48.51456,528256
38.31667,116.86667,527681
13.68935,-89.18718,525990
19.42155,-98.95038,525389
25.54389,-103.41898,524066
30.32443,78.03392,522081
-15.59611,-56.09667,521934
19.44506,-99.14612,521348
19.58547,-99.26035,521034
3.10726,101.60671,520698
22.20056,113.54611,520400
19.30157,72.85107,520301
41.0435,28.87619,520235
54.6269,39.6916,520173
32.22174,-110.92648,520116
43.25011,-79.84963,519949
57.15222,65.52722,519119
23.49957,87.32155,518872
-34.72418,-58.25265,518788
26.44976,74.64116,517911
38.71667,-9.13333,517802
29.04638,111.6783,517780
35.23972,113.23306,517540
19.21667,73.15,516584
16.69563,74.23167,516142
52.60311,39.57076,515655
26.71004,88.42851,515574
52.37052,9.73322,515140
39.77667,30.52056,514869
34.79049,48.57011,514102
-24.7859,-65.41166,512686
53.20066,45.00464,512602
-25.99636,28.2268,511655
20.76957,72.96134,510879
46.96591,31.9974,510840
-16.82333,-49.24389,510770
-33.61169,-70.57577,510417
14.55027,121.03269,510383
55.72545,52.41122,509870
31.33728,118.37351,507524
19.28786,-99.65324,505881
37.90222,139.02361,505272
28.65156,77.18859,505241
51.33962,12.37129,504971
59.99675,30.3899,504641
51.43247,6.76516,504358
23.68333,86.98333,504271
57.70716,11.96679,504084
34.09174,49.68916,503647
46.34968,48.04076,502533
22.27694,113.56778,501199
36.03222,129.365,500000
49.45421,11.07752,499237
30.30722,112.24472,498780
26.07681,-98.29748,498654
42.97638,47.50236,497959
36.74773,-119.77237,494665
-6.87222,107.5425,493698
20.64091,-103.29327,493646
37.92672,102.63202,493092
22.47292,70.06673,492056
-10.91111,-37.07167,490175
19.61745,37.21644,489725
-31.63333,-60.7,489505
15.50417,-88.025,489466
29.97371,32.52627,488125
51.05089,13.73832,486854
56.49771,84.97437,485519
-4.38361,15.39139,485167
29.9679,77.54522,484873
17.33763,76.83787,483615
22.86643,88.40113,483129
32.02594,44.34625,482576
-12.26667,-38.96667,481911
3.08507,101.53281,481654
47.09514,37.54131,481626
34.81667,134.7,481493
16.75973,-93.11308,481128
52.4345,30.9754,480951
37.7415,127.0474,479141
-33.01529,27.91162,478676
31.89722,54.3675,477905
9.56,44.065,477876
32.49268,74.53134,477396
55.33333,86.08333,477090
30.71444,111.28472,476725
37.20682,126.8169,476297
19.64388,-99.21598,475179
38.46806,106.27306,475101
41.99646,21.43141,474889
-26.67313,27.92615,474681
52.07667,4.29861,474292
14.63333,-90.60639,473080
45.74846,4.84671,472317
-23.31028,-51.16278,471832
28.68028,121.44278,470804
35.78333,139.9,470277
-21.76417,-43.35028,470193
53.41058,-2.97794,468945
34.71562,135.33199,468925
54.19609,37.61822,468825
40.56233,-74.13986,468730
35.80521,139.71072,468565
38.58157,-121.4944,466488
27.68667,106.90722,466292
30.7522,120.75,466101
-22.76417,-43.39944,466096
32.73569,74.86911,465567
42.90361,125.13583,465249
-5.89624,22.41659,463546
-29.12107,26.214,463064
32.0422,112.14479,462956
33.76696,-118.18923,462257
54.35205,18.64637,461865
4.9517,8.322,461796
26.5479,101.70539,461513
-26.30444,-48.84556,461304
35.13179,36.75783,460602
51.21989,4.40346,459805
39.09973,-94.57857,459787
36.59445,136.62556,458937
38.37396,27.1352,458000
6.91028,122.07389,457623
58.59665,49.66007,457383
23.18239,75.77643,457346
5.9749,116.0724,457326
24.02032,-104.65756,457140
-22.88333,-43.10361,456456
37.73222,115.70111,456356
28.3998,36.57151,455450
-0.03109,109.32199,455173
53.79648,-1.54785,455123
38.7375,125.40778,455000
10.66667,122.95,454898
-22.80389,-43.37222,454849
10.63111,122.97889,454150
18.80084,79.45206,452261
48.56705,39.31706,452000
1.48218,124.84892,451893
49.83333,73.1658,451800
35.405,116.58139,450327
